path: june17RCC_cal_L/
cornors in: june17RCC_cal_L/left000051.png
cornors in: june17RCC_cal_L/right000051.png
cornors in 2
no cornors in 0
chessboardImgSpacePoint: 0
[1220.64, 854.389] 
[1222, 861.5] 
[1224.33, 867.951] 
[1225.55, 873.748] 
[1227.71, 884.365] 
[1229.17, 891.859] 
[1192.64, 854.258] 
[1193.94, 862.638] 
[1194.44, 867.576] 
[1195.64, 877.156] 
[1196.37, 883.39] 
[1197.45, 894.815] 
[1165.33, 856.588] 
[1163.5, 863.5] 
[1165.4, 870.687] 
[1165.32, 876.383] 
[1165.64, 886.63] 
[1166.13, 893.491] 
[1137.75, 856.082] 
[1136.59, 864.367] 
[1136.47, 869.464] 
[1135.75, 878.976] 
[1135.04, 885.849] 
[1136.45, 894.563] 
[1109.78, 858.87] 
[1109.18, 863.554] 
[1109.99, 870.312] 
[1106.21, 878.492] 
[1106.46, 886.456] 
[1102.67, 895.619] 
[1083.37, 858.002] 
[1083.48, 864.141] 
[1078.93, 871.745] 
[1075.57, 881.621] 
[1074.34, 887.807] 
[1073.78, 896.144] 
[1058.36, 858.49] 
[1053.74, 866.081] 
[1052.39, 872.415] 
[1047.59, 880.69] 
[1046.12, 888.285] 
[1040.59, 897.556] 
[1029.62, 860.221] 
[1027.93, 866.058] 
[1022.21, 874.053] 
[1017, 883.345] 
[1014.43, 889.956] 
[1011.7, 897.579] 

chessboardImgSpacePoint: 1
[1190.49, 854.322] 
[1190.51, 859.385] 
[1191.55, 867.474] 
[1192.5, 875.5] 
[1194.1, 883.146] 
[1194.6, 891.484] 
[1162.51, 854.319] 
[1163.29, 861.173] 
[1162.55, 867.541] 
[1163.2, 876.111] 
[1162.5, 883.461] 
[1164.54, 892.474] 
[1134.69, 855.998] 
[1134.99, 861.908] 
[1133.59, 869.516] 
[1133.51, 877.022] 
[1132.69, 885.207] 
[1131.28, 893.321] 
[1107.96, 856.448] 
[1107.92, 862.364] 
[1104.66, 869.477] 
[1102.63, 878.573] 
[1101.41, 885.644] 
[1101.36, 894.437] 
[1080.98, 857.572] 
[1078.73, 863.825] 
[1075.64, 871.944] 
[1073.92, 878.566] 
[1070.47, 887.688] 
[1068.62, 895.576] 
[1053.49, 857.663] 
[1052.38, 864.221] 
[1047.84, 871.69] 
[1043.67, 880.597] 
[1040.7, 887.583] 
[1037.01, 897.519] 
[1025.42, 860.751] 
[1022.7, 865.645] 
[1020.63, 872.352] 
[1015.01, 880.31] 
[1010.06, 889.619] 
[1006.96, 897.96] 
[999.704, 859.924] 
[997.154, 865.727] 
[990.844, 873.824] 
[984.796, 882.56] 
[980.862, 889.601] 
[974.625, 899.563] 
